compound,spacegroup_relax,Pearson_symbol_relax,Egap,Egap_type,volume_atom,density,volume_cell,agl_debye,agl_acoustic_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,agl_bulk_modulus_isothermal_300K,agl_bulk_modulus_static_300K,natoms,nspecies,energy_atom,enthalpy_formation_atom
Ag2O4Sc2,194,hP8,2.4628,insulator-indirect,14.7477,5.20261,117.982,338.006,169.0,2.05732,23.273,22.5826,2.61324,4.91578e-05,109.502,112.849,8,3,-6.18435,-1.42889
Ag2O4Y2,194,hP8,2.5359,insulator-direct,17.1611,5.53412,137.289,295.938,148.0,2.05254,23.6093,22.9096,2.29628,4.91777e-05,95.2471,98.156,8,3,-6.4977,-1.70947
Ag2P2Sr2,194,hP6,0.3619,insulator-direct,23.8218,5.26199,142.931,287.909,158.493,2.18881,18.0903,17.2388,3.28879,7.39872e-05,48.6591,51.0626,6,3,-3.24973,
Ag2Pb2Tb2,186,hP6,0.0,metal,25.3848,10.3354,152.309,199.996,110.064,2.33327,18.4852,17.6307,2.0501,6.78307e-05,54.3691,57.0041,6,3,-3.29781,
Ag2S6Ta2,36,oS20,0.0666,insulator-indirect,19.2767,6.63289,192.767,319.1,148.067,2.03909,29.1344,28.4092,3.51391,4.13169e-05,99.9481,102.499,10,3,-5.30672,
Ag2S6Ta2,63,oS20,0.0598,insulator-indirect,19.2612,6.63824,192.612,322.943,149.923,2.04269,29.0895,28.3661,3.63333,4.12663e-05,99.9837,102.533,10,3,-5.30689,
Ag2Sb6Zr10,193,hP18,0.0,metal,21.6429,7.92152,389.573,322.032,122.866,2.08244,52.2137,51.0788,3.25201,3.52763e-05,106.123,108.481,18,3,-6.78137,
Ag2Sc1,139,tI6,0.0,metal,19.5564,7.37851,58.6691,244.065,169.18,2.39478,9.21271,8.72646,2.82917,7.58495e-05,63.5411,67.0817,3,2,-2.17548,
Ag2Si2Sr1,139,tI10,0.0,metal,20.7559,5.75267,103.78,301.995,176.611,2.31869,15.1001,14.309,3.44799,7.80753e-05,55.4828,58.5501,5,3,-2.9075,
Ag2Si2Tb1,139,tI10,0.0,metal,18.7428,7.63402,93.7141,316.033,184.798,2.31045,14.8244,14.2338,4.60072,5.90601e-05,80.8568,84.2122,5,3,-3.59169,
Ag2Si2Yb1,139,tI10,0.0,metal,19.6364,7.52533,98.1822,263.91,154.388,2.34381,15.2776,14.4672,2.72167,7.81808e-05,60.5974,63.9917,5,3,-2.78311,
Ag2Sn2Sr1,139,tI10,0.0,metal,27.0002,6.65117,135.001,179.133,104.68,2.40721,15.8025,14.7604,1.08503,9.51022e-05,37.7396,40.4041,5,3,-2.3165,
Ag2Sn2Tb2,186,hP6,0.0,metal,24.6413,8.65906,147.848,239.036,131.527,2.24888,18.1783,17.4681,3.04608,5.92421e-05,61.52,64.0211,6,3,-3.46646,
Ag2Tb1,139,tI6,0.0,metal,22.0155,9.41976,66.0464,174.974,121.338,2.30081,9.3258,8.85843,1.69739,7.49856e-05,55.758,58.6997,3,2,-2.02186,
Ag2Te4Y2,113,tP8,0.8745,insulator-indirect,30.3141,6.18953,242.513,211.022,105.5,2.07697,24.3622,23.446,1.93804,6.1648e-05,44.5943,46.3368,8,3,-4.25916,
Ag2Th1,191,hP3,0.0,metal,24.5232,10.1067,73.5695,193.993,134.512,2.32761,9.18491,8.82371,2.79052,5.80046e-05,65.0905,67.755,3,2,-2.50966,
